guided walking tour of the old town,Sightseeing and/or City Tours
guided walking tour,Sightseeing and/or City Tours
"go on a hop-on, hop-off tourist buses",Sightseeing and/or City Tours
go on a biking tour of the city,Sightseeing and/or City Tours
go on a sunset cruise,Sightseeing and/or City Tours
segway tour of the city,Sightseeing and/or City Tours
guided tour of the city,Sightseeing and/or City Tours
city bus tour,Sightseeing and/or City Tours
guided tour of the local markets,Sightseeing and/or City Tours
see the local points of interest,Sightseeing and/or City Tours
bike around the island,Adventure Tours
go on a hike,Adventure Tours
go paragliding,Adventure Tours
rent a bike and tour the island,Adventure Tours
hike up a mountain,Adventure Tours
go mountain biking,Adventure Tours
experience local culture,Cultural
learn about local customs,Cultural
I would like to go exploring the city on my own,Cultural
view local handicrafts,Cultural
learn about local history,Cultural
see the local ruins,Cultural
experience some of the local customs,Cultural
experience how the locals live,Cultural
hike to the ruins,Cultural
go to Coral World,Cultural
go to Disney World,Cultural
spend the day at Disney World,Cultural
go to Sea Aquarium,Cultural
cultural walking tour,Cultural
see the dolphins at Blue Lagoon Island,Cultural
go on a wine tasting tour,Cuisine Tours
go on a beer tasting tour,Cuisine Tours
want to do a rum tasting,Cuisine Tours
do a cuisine workshop,Cuisine Tours
do a cooking class,Cuisine Tours
tequila tasting,Cuisine Tours
Brewery tour,Cuisine Tours
Rum plantation tour,Cuisine Tours
food and wine pairings,Cuisine Tours
food and culture tour,Cuisine Tours
go snorkeling,Snorkel & SCUBA Tours
go diving,Snorkel & SCUBA Tours
go diving and explore some shipwrecks,Snorkel & SCUBA Tours
go snorkeling with some fish,Snorkel & SCUBA Tours
explore some underwater caves,Snorkel & SCUBA Tours
see the coral reefs,Snorkel & SCUBA Tours
swim with the dolphins,Beach and/or Water-Related Activities
go wakeboarding,Beach and/or Water-Related Activities
go windsurfing,Beach and/or Water-Related Activities
take kite-surfing lessons,Beach and/or Water-Related Activities
ride horses on the beach,Beach and/or Water-Related Activities
go kayaking,Beach and/or Water-Related Activities
rent a jet ski,Beach and/or Water-Related Activities
go parasailing,Beach and/or Water-Related Activities
do some sunbathing on a beach,Beach and/or Water-Related Activities
rent a boat,Beach and/or Water-Related Activities
go swimming,Beach and/or Water-Related Activities
go on a whale watching tour,Wilderness & Wildlife Tours 
go birding,Wilderness & Wildlife Tours 
go on a nature tour,Wilderness & Wildlife Tours 
see some local wildlife,Wilderness & Wildlife Tours 
see some whales,Wilderness & Wildlife Tours 
see local animals in their natural habitate,Wilderness & Wildlife Tours 
go bird watching,Wilderness & Wildlife Tours 
see some monkeys,Wilderness & Wildlife Tours 
see some dolphins,Wilderness & Wildlife Tours 
photograph birds,Wilderness & Wildlife Tours 
photograph local animals,Wilderness & Wildlife Tours 
explore the rainforests,Wilderness & Wildlife Tours 
hike through the forests,Wilderness & Wildlife Tours 
hike through the rainforests,Wilderness & Wildlife Tours 
on a budget,price_min
prefer a cheaper excursion,price_min
don’t want to spend too much money,price_min
don't want to spend a lot of money,price_min
money is tight,price_min
top of the line,price_max
money isn't an issue,price_max
best that money can buy,price_max
luxury excursion,price_max
michelin rated restaurant,price_max
interested in a shorter excursion,duration_min
want to kill a few hours,duration_min
only have a bit of time,duration_min
something on the shorter side,duration_min
something short,duration_min
want an activity for a few hours,duration_min
want an activity for half a day,duration_min
don't want my whole day occupied,duration_min
don't want my whole day consumed,duration_min
my kids need a good workout,duration_max
time isn't an issue,duration_max
have the entire day,duration_max
the longer the better,duration_max
want to be occupied for the full day,duration_max
want to be out and get some fresh air,duration_max
